            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459900.418750000, A.D. 2022-Nov-16 22:03:00.0000, -3.347892365506499E+05,  2.079321349324080E+05,  3.511107122787443E+04, -4.777223019864761E-01, -8.367551019771027E-01, -2.637116443152648E-02,  1.319803124764971E+00,  3.956670228493714E+05, -3.785483492980349E-02,
2459900.460416667, A.D. 2022-Nov-16 23:03:00.0000, -3.364953095230459E+05,  2.049113206083807E+05,  3.501469778842726E+04, -4.700883598190223E-01, -8.414646170671382E-01, -2.716940726659278E-02,  1.319345183633086E+00,  3.955297355518242E+05, -3.841538323610905E-02,
2459900.502083333, A.D. 2022-Nov-17 00:03:00.0000, -3.381738178671258E+05,  2.018736652780848E+05,  3.491545317116434E+04, -4.624086892628586E-01, -8.461111417026159E-01, -2.796625375339462E-02,  1.318880529556800E+00,  3.953904357641747E+05, -3.897286978804946E-02,
2459900.543750000, A.D. 2022-Nov-17 01:03:00.0000, -3.398245977155022E+05,  1.988193965155089E+05,  3.481334250528707E+04, -4.546837103074539E-01, -8.506942268609852E-01, -2.876164699607170E-02,  1.318409199850219E+00,  3.952491346729105E+05, -3.952720337142644E-02,
2459900.585416667, A.D. 2022-Nov-17 02:03:00.0000, -3.414474867198000E+05,  1.957487435104455E+05,  3.470837112521278E+04, -4.469138468687474E-01, -8.552134238996160E-01, -2.955552988127458E-02,  1.317931232923031E+00,  3.951058437929660E+05, -4.007829273267745E-02,
2459900.627083333, A.D. 2022-Nov-17 03:03:00.0000, -3.430423240648978E+05,  1.926619370670795E+05,  3.460054457136153E+04, -4.390995268488873E-01, -8.596682845791250E-01, -3.034784507602634E-02,  1.317446668280868E+00,  3.949605749678320E+05, -4.062604659620243E-02,
2459900.668750000, A.D. 2022-Nov-17 04:03:00.0000, -3.446089504833913E+05,  1.895592096025067E+05,  3.448986859095134E+04, -4.312411821988130E-01, -8.640583610809273E-01, -3.113853502502034E-02,  1.316955546525503E+00,  3.948133403696138E+05, -4.117037367607333E-02,
2459900.710416667, A.D. 2022-Nov-17 05:03:00.0000, -3.461472082702804E+05,  1.864407951451798E+05,  3.437634913880324E+04, -4.233392489804978E-01, -8.683832060290467E-01, -3.192754194822689E-02,  1.316457909354891E+00,  3.946641524990441E+05, -4.171118269003517E-02,
2459900.752083333, A.D. 2022-Nov-17 06:03:00.0000, -3.476569412978824E+05,  1.833069293332734E+05,  3.425999237815438E+04, -4.153941674296814E-01, -8.726423725135871E-01, -3.271480783857944E-02,  1.315953799563041E+00,  3.945130241854432E+05, -4.224838237368947E-02,
2459900.793750000, A.D. 2022-Nov-17 07:03:00.0000, -3.491379950309704E+05,  1.801578494129614E+05,  3.414080468147924E+04, -4.074063820190654E-01, -8.768354141158908E-01, -3.350027445974724E-02,  1.315443261039710E+00,  3.943599685866304E+05, -4.278188149486125E-02,
2459900.835416667, A.D. 2022-Nov-17 08:03:00.0000, -3.505902165421413E+05,  1.769937942366003E+05,  3.401879263131913E+04, -3.993763415219426E-01, -8.809618849354128E-01, -3.428388334399496E-02,  1.314926338769937E+00,  3.942049991887803E+05, -4.331158886815459E-02,
2459900.877083333, A.D. 2022-Nov-17 09:03:00.0000, -3.520134545274129E+05,  1.738150042608134E+05,  3.389396302111878E+04, -3.913044990762327E-01, -8.850213396183360E-01, -3.506557579013614E-02,  1.314403078833387E+00,  3.940481298062287E+05, -4.383741336970153E-02,
2459900.918750000, A.D. 2022-Nov-17 10:03:00.0000, -3.534075593220525E+05,  1.706217215444686E+05,  3.376632285607029E+04, -3.831913122488912E-01, -8.890133333879594E-01, -3.584529286158133E-02,  1.313873528403523E+00,  3.938893745812250E+05, -4.435926395210878E-02,
2459900.960416667, A.D. 2022-Nov-17 11:03:00.0000, -3.547723829166375E+05,  1.674141897465427E+05,  3.363587935396407E+04, -3.750372431006664E-01, -8.929374220768810E-01, -3.662297538448517E-02,  1.313337735746601E+00,  3.937287479836278E+05, -4.487704965960061E-02,
2459901.002083333, A.D. 2022-Nov-17 12:03:00.0000, -3.561077789733508E+05,  1.641926541238679E+05,  3.350263994604605E+04, -3.668427582511670E-01, -8.967931621610018E-01, -3.739856394599872E-02,  1.312795750220472E+00,  3.935662648105492E+05, -4.539067964336711E-02,
2459901.043750000, A.D. 2022-Nov-17 13:03:00.0000, -3.574136028425094E+05,  1.609573615287518E+05,  3.336661227788106E+04, -3.586083289442126E-01, -9.005801107953797E-01, -3.817199889262751E-02,  1.312247622273210E+00,  3.934019401859411E+05, -4.590006317711556E-02,
2459901.085416667, A.D. 2022-Nov-17 14:03:00.0000, -3.586897115793303E+05,  1.577085604064648E+05,  3.322780421022207E+04, -3.503344311134319E-01, -9.042978258519575E-01, -3.894322032869968E-02,  1.311693403441543E+00,  3.932357895601258E+05, -4.640510967283156E-02,
2459901.127083333, A.D. 2022-Nov-17 15:03:00.0000, -3.599359639609318E+05,  1.544465007925889E+05,  3.308622381988443E+04, -3.420215454480753E-01, -9.079458659591889E-01, -3.971216811495065E-02,  1.311133146349098E+00,  3.930678287092697E+05, -4.690572869674891E-02,
2459901.168750000, A.D. 2022-Nov-17 16:03:00.0000, -3.611522205035724E+05,  1.511714343102197E+05,  3.294187940062534E+04, -3.336701574590074E-01, -9.115237905435868E-01, -4.047878186722503E-02,  1.310566904704450E+00,  3.928980737347989E+05, -4.740182998553080E-02,
2459901.210416667, A.D. 2022-Nov-17 17:03:00.0000, -3.623383434801283E+05,  1.478836141670162E+05,  3.279477946402756E+04, -3.252807575448430E-01, -9.150311598732225E-01, -4.124300095530098E-02,  1.309994733298981E+00,  3.927265410627560E+05, -4.789332346266736E-02,
2459901.252083333, A.D. 2022-Nov-17 18:03:00.0000, -3.634941969378075E+05,  1.445832951520895E+05,  3.264493274038710E+04, -3.168538410581908E-01, -9.184675351031949E-01, -4.200476450184037E-02,  1.309416688004533E+00,  3.925532474430981E+05, -4.838011925508739E-02,
2459901.293750000, A.D. 2022-Nov-17 19:03:00.0000, -3.646196467161044E+05,  1.412707336327247E+05,  3.249234817960464E+04, -3.083899083719673E-01, -9.218324783230931E-01, -4.276401138147112E-02,  1.308832825770867E+00,  3.923782099489339E+05, -4.886212770998718E-02,
2459901.335416667, A.D. 2022-Nov-17 20:03:00.0000, -3.657145604649915E+05,  1.379461875509284E+05,  3.233703495207984E+04, -2.998894649457415E-01, -9.251255526064821E-01, -4.352068022000127E-02,  1.308243204622913E+00,  3.922014459757000E+05, -4.933925941187925E-02,
2459901.377083333, A.D. 2022-Nov-17 21:03:00.0000, -3.667788076633520E+05,  1.346099164197945E+05,  3.217900244960835E+04, -2.913530213920725E-01, -9.283463220624246E-01, -4.427470939377171E-02,  1.307647883657820E+00,  3.920229732402759E+05, -4.981142519986072E-02,
2459901.418750000, A.D. 2022-Nov-17 22:03:00.0000, -3.678122596376484E+05,  1.312621813196799E+05,  3.201826028628075E+04, -2.827810935427995E-01, -9.314943518890696E-01, -4.502603702915325E-02,  1.307046923041793E+00,  3.918428097800359E+05, -5.027853618510219E-02,
2459901.460416667, A.D. 2022-Nov-17 23:03:00.0000, -3.688147895808321E+05,  1.279032448941849E+05,  3.185481829938324E+04, -2.741742025152408E-01, -9.345692084293236E-01, -4.577460100218622E-02,  1.306440384006717E+00,  3.916609739518377E+05, -5.074050376855915E-02,
2459901.502083333, A.D. 2022-Nov-18 00:03:00.0000, -3.697862725714901E+05,  1.245333713459284E+05,  3.168868655029919E+04, -2.655328747782637E-01, -9.375704592286290E-01, -4.652033893837371E-02,  1.305828328846575E+00,  3.914774844309470E+05, -5.119723965890626E-02,
2459901.543750000, A.D. 2022-Nov-18 01:03:00.0000, -3.707265855932286E+05,  1.211528264321114E+05,  3.151987532541125E+04, -2.568576422181774E-01, -9.404976730948713E-01, -4.726318821262643E-02,  1.305210820913639E+00,  3.912923602098976E+05, -5.164865589069543E-02,
2459901.585416667, A.D. 2022-Nov-18 02:03:00.0000, -3.716356075542946E+05,  1.177618774598617E+05,  3.134839513700330E+04, -2.481490422044088E-01, -9.433504201604277E-01, -4.800308594936903E-02,  1.304587924614449E+00,  3.911056205972842E+05, -5.209466484273639E-02,
2459901.627083333, A.D. 2022-Nov-18 03:03:00.0000, -3.725132193074329E+05,  1.143607932813501E+05,  3.117425672416177E+04, -2.394076176549130E-01, -9.461282719463878E-01, -4.873996902280614E-02,  1.303959705405567E+00,  3.909172852164909E+05, -5.253517925670247E-02,
2459901.668750000, A.D. 2022-Nov-18 04:03:00.0000, -3.733593036699779E+05,  1.109498442886727E+05,  3.099747105367578E+04, -2.306339171012736E-01, -9.488308014289586E-01, -4.947377405735653E-02,  1.303326229789108E+00,  3.907273740043496E+05, -5.297011225596177E-02,
2459901.710416667, A.D. 2022-Nov-18 05:03:00.0000, -3.741737454441793E+05,  1.075293024084895E+05,  3.081804932093524E+04, -2.218284947534464E-01, -9.514575831080698E-01, -5.020443742825920E-02,  1.302687565308042E+00,  3.905359072097334E+05, -5.339937736462960E-02,
2459901.752083333, A.D. 2022-Nov-18 06:03:00.0000, -3.749564314377606E+05,  1.040994410964121E+05,  3.063600295082658E+04, -2.129919105640955E-01, -9.540081930782037E-01, -5.093189526235287E-02,  1.302043780541263E+00,  3.903429053920776E+05, -5.382288852684780E-02,
2459901.793750000, A.D. 2022-Nov-18 07:03:00.0000, -3.757072504847073E+05,  1.006605353311324E+05,  3.045134359862534E+04, -2.041247302924752E-01, -9.564822091014650E-01, -5.165608343903583E-02,  1.301394945098432E+00,  3.901483894198338E+05, -5.424056012628720E-02,
2459901.835416667, A.D. 2022-Nov-18 08:03:00.0000, -3.764260934662854E+05,  9.721286160828453E+04,  3.026408315088489E+04, -1.952275255678065E-01, -9.588792106828982E-01, -5.237693759140982E-02,  1.300741129614579E+00,  3.899523804688514E+05, -5.465230700587140E-02,
2459901.877083333, A.D. 2022-Nov-18 09:03:00.0000, -3.771128533322864E+05,  9.375669793403104E+04,  3.007423372632085E+04, -1.863008739520960E-01, -9.611987791480827E-01, -5.309439310761094E-02,  1.300082405744473E+00,  3.897549000206888E+05, -5.505804448772551E-02,
2459901.918750000, A.D. 2022-Nov-18 10:03:00.0000, -3.777674251224974E+05,  9.029232381836594E+04,  2.988180767669020E+04, -1.773453590023452E-01, -9.634404977230069E-01, -5.380838513233338E-02,  1.299418846156737E+00,  3.895559698608520E+05, -5.545768839334445E-02,
2459901.960416667, A.D. 2022-Nov-18 11:03:00.0000, -3.783897059883940E+05,  8.682002026812607E+04,  2.968681758766466E+04, -1.683615703320976E-01, -9.656039516162418E-01, -5.451884856854988E-02,  1.298750524527740E+00,  3.893556120769603E+05, -5.585115506398227E-02,
2459902.002083333, A.D. 2022-Nov-18 12:03:00.0000, -3.789795952150539E+05,  8.334006977970240E+04,  2.948927627969753E+04, -1.593501036722682E-01, -9.676887281034264E-01, -5.522571807943172E-02,  1.298077515535223E+00,  3.891538490568378E+05, -5.623836138126062E-02,
