Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,0.8233868941999638,-2.4454316431075595e-27,0.007449749844248501,-1.5322024845396124e-15,0.12724647992235882,1.6271011487405186e-15
0.004013171205664326,0.8233877871291905,0.0005106548372301779,0.007449484900232376,0.0004449943738907015,0.12724119333561457,-0.00013203644902305778
0.01228486342477643,0.8233952606636709,0.0015630027781468395,0.007447267295715896,0.0013619349640188027,0.12719694516321658,-0.0004041412353872788
0.02055842119125409,0.8234103202659052,0.002615036137436559,0.007442798113419821,0.0022783106208169443,0.12710777647848348,-0.0006761846097788205
0.028833529560111832,0.8234329615243964,0.0036663429595582874,0.007436077487327046,0.003193566744080832,0.12697370112637196,-0.0009480734907319669
0.037109154003468335,0.823463171615177,0.004716420168800131,0.007427107456820463,0.004107070032081279,0.12679477656493984,-0.0012196912342976698
0.045384242743867265,0.8235009295551421,0.0057647635701129725,0.007415891895021046,0.005018187430177049,0.12657110237475508,-0.0014909208874125746
0.05365773985787717,0.8235462062363217,0.006810870148906438,0.007402436504298449,0.005926288652067601,0.12630282007909482,-0.0017616457647646772
0.06192858272417312,0.8235989644404513,0.007854238382125114,0.007386748819810464,0.006830746965678516,0.12599011309505276,-0.0020317495109762333
0.0701957047693499,0.8236591588962315,0.008894369218577735,0.007368838202526468,0.007730940554357124,0.12563320644625386,-0.0023011163355723453
0.07845805094160768,0.8237267364767273,0.009930768645190985,0.0073487157926471515,0.00862625523595954,0.125232365658936,-0.002569631658717269
0.08671456971089414,0.8238016362712713,0.010962947278244515,0.007326394502353265,0.00951608458814375,0.1247878964159104,-0.0028371819867118323
0.0949642300144188,0.8238837898880204,0.011990423062857664,0.007301888941765094,0.010399832739236262,0.12430014285584798,-0.0031036555929130336
0.10320601826260555,0.8239731216347009,0.013012721438828562,0.007275215382892249,0.011276914943779522,0.1237694866074939,-0.0033689425427218837
0.11143894325095832,0.8240695487913411,0.014029376467054393,0.007246391697782945,0.012146758961330068,0.1231963452901101,-0.0036329349678448524
0.11966205022156223,0.8241729820385446,0.01503993303679486,0.007215437251537555,0.013008807323105415,0.12258117009965265,-0.0038955276222718384
0.12787441316602222,0.8242833256658784,0.016043946338215397,0.007182372862214276,0.013862517222155882,0.12192444471096206,-0.0041566177291240064
0.1360751470538126,0.824400478041245,0.017040983747002764,0.007147220683682889,0.014707362430065714,0.12122668263648491,-0.00441610545483586
0.1442634082979249,0.8245243319656106,0.01803062520636658,0.007110004123492809,0.015542833889861205,0.12048842527276164,-0.004673893994210943
0.15243839459880137,0.8246547750239223,0.019012463493699026,0.007070747762532487,0.01636844017814163,0.1197102399757734,-0.004929889626150866
0.16059935138486886,0.8247916900514014,0.019986105233390828,0.007029477240384156,0.017183708558079713,0.11889271745252356,-0.0051840019648999305
0.16874557500956897,0.8249349555741994,0.020951171455153846,0.006986219148412924,0.01798818560406229,0.11803646930655191,-0.005436144094513325
0.17687641215766417,0.8250844461934568,0.02190729764926727,0.006941000939848116,0.018781437366752314,0.11714212592217385,-0.005686232573243605
0.1849912620169099,0.8252400330182905,0.02285413410346669,0.006893850824877124,0.019563049737598554,0.11621033405616907,-0.005934187512584697
0.1930895696703545,0.8254015839268121,0.02379134517355628,0.006844797717516151,0.02033262790023443,0.11524175545852657,-0.00617993237805735
0.2011708375546902,0.8255689641730991,0.024718610615480127,0.006793871077077944,0.02108979744901206,0.1142370634185403,-0.006423394331045938
0.20923461582078295,0.825742036579806,0.02563562442004449,0.0067411008746152,0.021834203417959264,0.1131969417898337,-0.006664503917447882
0.21728050766124118,0.825920662018107,0.02654209534530675,0.006686517471373082,0.02256551067713263,0.11212208228877837,-0.0069031952022882885
0.22530816197783812,0.826104699608602,0.027437745971680163,0.006630151581422336,0.023283403101909753,0.11101318346461206,-0.007139405516936818
0.23331727975465263,0.8262940072108304,0.028322313275241467,0.006572034145215799,0.023987583946355327,0.10987094792807323,-0.007373075606695442
0.2413075976361072,0.826488441368142,0.029195546645386008,0.006512196369206119,0.0246777741552421,0.10869608285875622,-0.007604149104464394
0.24927890450736717,0.8266878580121083,0.030057209533946583,0.006450669531415179,0.025353713554316624,0.10748929592540594,-0.0078325729638884
0.25723102305374285,0.8268921123139154,0.03090707723436163,0.006387485048157865,0.026015158953963457,0.10625129635080101,-0.008058296869940085
0.2651638184541105,0.8271010591757159,0.031744937617458585,0.006322674342906139,0.026661884581115222,0.10498279210526983,-0.00828127343194988
0.273077188470312,0.8273145532387598,0.032570589847910315,0.0062562688633400485,0.02729368091918105,0.10368449002021093,-0.008501457841416753
0.2809710654243372,0.8275324491758603,0.03338384437096855,0.006188300009628523,0.027910354533819848,0.10235709417504463,-0.008718807866984863
0.28884541319173884,0.8277546018399589,0.0341845223597347,0.006118799106291184,0.028511727473080766,0.10100130515172266,-0.008933283706253441
0.29670022110760397,0.8279808663025678,0.03497245485997207,0.006047797407859438,0.02909763644518629,0.09961781995999723,-0.009144847755877598
0.30453550431212145,0.8282110980531092,0.03574748260130259,0.0059753260536038535,0.029667932502016874,0.09820733098009544,-0.009353464559510735
0.3123513013706563,0.8284451531089346,0.0365094555274312,0.00590141604933314,0.03022248050869248,0.09677052544645176,-0.009559100680575187
0.320147670576188,0.8286828880687666,0.03725823220809391,0.0058260982664439095,0.030761158532506667,0.0953080852777268,-0.009761724542560362
0.327924689050548,0.8289241602341697,0.037993679534704485,0.005749403418936223,0.031283857444387456,0.09382068648887809,-0.009961306345328052
0.3356824492396301,0.8291688276382919,0.038715672173791765,0.005671362069233047,0.03179048035091256,0.0923089991729688,-0.010157817915475272
0.343421055789156,0.8294167490695667,0.03942409207842453,0.0055920046353773786,0.032280942080424854,0.09077368751763004,-0.010351232571359488
0.3511406282117146,0.8296677842700108,0.04011882853849197,0.005511361341848394,0.03275516904791083,0.08921540874040769,-0.010541525134846262
0.3588412919476866,0.8299217937499013,0.040799777183129896,0.005429462292864491,0.03321309840360497,0.08763481440214853,-0.010728671656292672
0.36652318601927564,0.8301786391310727,0.04146684049074036,0.005346337375575085,0.0336546782200087,0.086032548441396,-0.010912649551820672
0.3741864530830515,0.8304381829059501,0.042119926736151544,0.005262016350885445,0.03407986662533963,0.08440924884089976,-0.011093437311527541
